date,close,open,high,low,volume
09-03-2020,121.599998,121.078003,132.600006,121,85368500
10-03-2020,129.065994,131.886002,133.600006,121.599998,77972000
11-03-2020,126.846001,128.039993,130.716003,122.599998,66612500
12-03-2020,112.110001,116.178001,118.900002,109.25,94545500
13-03-2020,109.323997,119,121.514,100.400002,113201500
16-03-2020,89.014,93.900002,98.973999,88.433998,102447500
17-03-2020,86.040001,88.001999,94.370003,79.199997,119973000
18-03-2020,72.244003,77.800003,80.972,70.101997,118931000
19-03-2020,85.528,74.940002,90.400002,71.692001,150977500
20-03-2020,85.505997,87.639999,95.400002,85.157997,141427500
23-03-2020,86.858002,86.720001,88.400002,82.099998,82272500
24-03-2020,101,95.459999,102.737999,94.800003,114476000
25-03-2020,107.849998,109.050003,111.400002,102.222,106113500
26-03-2020,105.632004,109.477997,112,102.449997,86903500
27-03-2020,102.872002,101,105.160004,98.806,71887000
30-03-2020,100.426003,102.052002,103.330002,98.246002,59990500
31-03-2020,104.800003,100.25,108.592003,99.400002,88857500
01-04-2020,96.311996,100.800003,102.790001,95.019997,66766000
02-04-2020,90.893997,96.206001,98.851997,89.279999,99292000
03-04-2020,96.001999,101.900002,103.098,93.678001,112810500
06-04-2020,103.248001,102.239998,104.199997,99.592003,74509000
07-04-2020,109.089996,109,113,106.468002,89599000
08-04-2020,109.767998,110.839996,111.442001,106.666,63280000
09-04-2020,114.599998,112.417999,115.036003,111.421997,68250000
13-04-2020,130.190002,118.031998,130.399994,116.106003,112377000
14-04-2020,141.977997,139.794006,148.376007,138.485992,152882500
15-04-2020,145.966003,148.399994,150.626007,142,117885000
16-04-2020,149.042007,143.388,151.889999,141.343994,103289500
17-04-2020,150.778,154.455994,154.990005,149.531998,65641000
20-04-2020,149.272003,146.539993,153.113998,142.442001,73733000
21-04-2020,137.343994,146.024002,150.666,134.757996,101045500
22-04-2020,146.421997,140.796005,146.800003,137.742004,71124000
23-04-2020,141.126007,145.520004,146.800003,140.626007,66183500
24-04-2020,145.029999,142.162003,146.145996,139.636002,66188000
27-04-2020,159.75,147.522003,159.897995,147,103407000
28-04-2020,153.824005,159.128006,161,151.337997,76110000
29-04-2020,160.102005,158.033997,160.639999,156.632004,81080000
30-04-2020,156.376007,171.037994,173.964005,152.699997,142359500
01-05-2020,140.264008,151,154.554001,136.608002,162659000
04-05-2020,152.238007,140.199997,152.399994,139.600006,96185500
05-05-2020,153.641998,157.957993,159.783997,152.436005,84958500
06-05-2020,156.516006,155.300003,157.960007,152.222,55616000
07-05-2020,156.007996,155.442001,159.279999,154.470001,57638500
08-05-2020,163.884003,158.753998,164.800003,157.401993,80650500
11-05-2020,162.257996,158.102005,164.800003,157,82598000
12-05-2020,161.882004,165.399994,168.658005,161.600006,79534500
13-05-2020,158.192001,164.166,165.199997,152.660004,95327500
14-05-2020,160.666,156,160.671997,152.800003,68411000
15-05-2020,159.834,158.070007,161.009995,157.309998,52592000
18-05-2020,162.725998,165.556,166.944,160.776001,58490500
19-05-2020,161.602005,163.033997,164.414001,161.216003,48182500
20-05-2020,163.112,164.100006,165.199997,162.360001,36546500
21-05-2020,165.520004,163.199997,166.5,159.199997,61273000
22-05-2020,163.376007,164.434006,166.356003,162.399994,49937500
26-05-2020,163.774002,166.899994,166.919998,163.141998,40448500
27-05-2020,164.046005,164.171997,165.542007,157,57747500
28-05-2020,161.162003,162.701996,164.949997,160.337997,36278000
29-05-2020,167,161.75,167,160.841995,59062500
01-06-2020,179.619995,171.600006,179.800003,170.820007,74697500
02-06-2020,176.311996,178.940002,181.731995,174.199997,67828000
03-06-2020,176.591995,177.623993,179.587997,176.020004,39747500
04-06-2020,172.876007,177.975998,179.149994,171.688004,44438500
05-06-2020,177.132004,175.567993,177.304001,173.240005,39059500
08-06-2020,189.983994,183.800003,190,181.832001,70873500
09-06-2020,188.134003,188.001999,190.888,184.785995,56941000
10-06-2020,205.009995,198.376007,205.496002,196.5,92817000
11-06-2020,194.567993,198.039993,203.792007,194.399994,79582500
12-06-2020,187.056,196,197.595993,182.520004,83817000
15-06-2020,198.179993,183.557999,199.768005,181.699997,78486000
16-06-2020,196.425995,202.369995,202.576004,192.477997,70255500
17-06-2020,198.358002,197.542007,201,196.514008,49454000
18-06-2020,200.792007,200.600006,203.839996,198.893997,48759500
19-06-2020,200.179993,202.556,203.194,198.268005,43398500
22-06-2020,198.863998,199.990005,201.776001,198.003998,31812000
23-06-2020,200.356003,199.776001,202.399994,198.802002,31826500
24-06-2020,192.169998,198.822006,200.175995,190.628006,54798000
25-06-2020,197.195999,190.854004,197.195999,187.429993,46272500
26-06-2020,191.947998,198.955994,199,190.973999,44274500
29-06-2020,201.869995,193.802002,202,189.703995,45132000
30-06-2020,215.962006,201.300003,217.537994,200.746002,84592500
01-07-2020,223.925995,216.600006,227.065994,216.100006,66634500
02-07-2020,241.731995,244.296005,245.600006,237.119995,86250500
06-07-2020,274.31601,255.337997,275.558014,253.207993,102849500
07-07-2020,277.971985,281.002014,285.899994,267.34201,107448500
08-07-2020,273.175995,281,283.451996,262.268005,81556500
09-07-2020,278.855988,279.39801,281.712006,270.256012,58588000
10-07-2020,308.929993,279.200012,309.783997,275.201996,116688000
13-07-2020,299.411987,331.799988,358.997986,294.221985,194927000
14-07-2020,303.359985,311.200012,318,286.200012,117090500
15-07-2020,309.201996,308.600006,310,291.399994,81839000
16-07-2020,300.127991,295.432007,306.34201,293.200012,71504000
17-07-2020,300.167999,302.690002,307.502014,298,46650000
20-07-2020,328.600006,303.802002,330,297.600006,85607000
21-07-2020,313.671997,327.985992,335,311.600006,80786500
22-07-2020,318.466003,319.799988,325.283997,312.399994,70805500
23-07-2020,302.614014,335.790009,337.799988,296.153992,121642500
24-07-2020,283.399994,283.201996,293,273.308014,96983000
27-07-2020,307.920013,287,309.588013,282.600006,80243500
28-07-2020,295.298004,300.799988,312.940002,294.884003,79043500
29-07-2020,299.821991,300.200012,306.962006,297.399994,47134500
30-07-2020,297.497986,297.600006,302.64801,294.200012,38105000
31-07-2020,286.152008,303,303.410004,284.196014,61235000
03-08-2020,297,289.839996,301.962006,288.876007,44046500
04-08-2020,297.399994,299.002014,305.481995,292.399994,42075000
05-08-2020,297.003998,298.597992,299.967987,293.661987,24890000
06-08-2020,297.915985,298.165985,303.462006,295.451996,29961500
07-08-2020,290.541992,299.90799,299.950012,283.002014,44482000
10-08-2020,283.713989,289.600006,291.5,277.167999,37611500
11-08-2020,274.877991,279.200012,284,273,43129000
12-08-2020,310.951996,294,317,287,109494000
13-08-2020,324.200012,322.200012,330.235992,313.451996,102126500
14-08-2020,330.141998,332.997986,333.76001,325.328003,62888000
17-08-2020,367.127991,335.399994,369.171997,334.56601,101211500
18-08-2020,377.417999,379.798004,384.779999,369.022003,82372500
19-08-2020,375.705994,373,382.200012,368.242004,61026500
20-08-2020,400.365997,372.135986,404.39801,371.411987,103059000
21-08-2020,409.996002,408.951996,419.097992,405.01001,107448000
24-08-2020,402.839996,425.256012,425.799988,385.503998,100318000
25-08-2020,404.667999,394.977997,405.589996,393.600006,53294500
26-08-2020,430.634003,412,433.200012,410.726013,71197000
27-08-2020,447.75,436.09201,459.119995,428.5,118465000
28-08-2020,442.679993,459.023987,463.697998,437.303986,100406000
31-08-2020,498.320007,444.609985,500.140015,440.109985,118374400
01-09-2020,475.049988,502.140015,502.48999,470.51001,90119400
02-09-2020,447.369995,478.98999,479.040009,405.119995,96176100
03-09-2020,407,407.230011,431.799988,402,87596100
04-09-2020,418.320007,402.809998,428,372.019989,110321900
08-09-2020,330.209991,356,368.73999,329.880005,115465700
09-09-2020,366.279999,356.600006,369,341.51001,79465800
10-09-2020,371.339996,386.209991,398.98999,360.559998,84930600
11-09-2020,372.720001,381.940002,382.5,360.5,60717500
14-09-2020,419.619995,380.950012,420,373.299988,83020600
15-09-2020,449.76001,436.559998,461.940002,430.700012,97298200
16-09-2020,441.76001,439.869995,457.790009,435.309998,72279300
17-09-2020,423.429993,415.600006,437.790009,408,76779200
18-09-2020,442.149994,447.940002,451,428.799988,86406800
21-09-2020,449.390015,453.130005,455.679993,407.070007,109476800
22-09-2020,424.230011,429.600006,437.76001,417.600006,79580800
23-09-2020,380.359985,405.160004,412.149994,375.880005,95074200
24-09-2020,387.790009,363.799988,399.5,351.299988,96561100
25-09-2020,407.339996,393.470001,408.730011,391.299988,67208500
28-09-2020,421.200012,424.619995,428.079987,415.549988,49719600
29-09-2020,419.070007,416,428.5,411.600006,50219300
30-09-2020,429.01001,421.320007,433.929993,420.470001,48145600
01-10-2020,448.160004,440.76001,448.880005,434.420013,50741500
02-10-2020,415.089996,421.390015,439.130005,415,71430000
05-10-2020,425.679993,423.350006,433.640015,419.329987,44722800
06-10-2020,413.980011,423.790009,428.779999,406.049988,49146300
07-10-2020,425.299988,419.869995,429.899994,413.850006,43127700
08-10-2020,425.920013,438.440002,439,425.299988,40421100
09-10-2020,434,430.130005,434.589996,426.459991,28925700
12-10-2020,442.299988,442,448.73999,438.579987,38791100
13-10-2020,446.649994,443.350006,448.890015,436.600006,34463700
14-10-2020,461.299988,449.779999,465.899994,447.350006,48045400
15-10-2020,448.880005,450.309998,456.570007,442.5,35672400
16-10-2020,439.670013,454.440002,455.950012,438.850006,32775900
19-10-2020,430.829987,446.23999,447,428.869995,36287800
20-10-2020,421.940002,431.75,431.75,419.049988,31656300
21-10-2020,422.640015,422.700012,432.950012,421.25,32370500
22-10-2020,425.790009,441.920013,445.230011,424.51001,39993200
23-10-2020,420.630005,421.839996,422.890015,407.380005,33717000
26-10-2020,420.279999,411.630005,425.76001,410,28239200
27-10-2020,424.679993,423.76001,430.5,420.100006,22686500
28-10-2020,406.019989,416.480011,418.600006,406,25451400
29-10-2020,410.829987,409.959991,418.059998,406.459991,22655300
30-10-2020,388.040009,406.899994,407.589996,379.109985,42511300
02-11-2020,400.51001,394,406.980011,392.299988,29021100
03-11-2020,423.899994,409.730011,427.769989,406.690002,34351700
04-11-2020,420.980011,430.619995,435.399994,417.100006,32143100
05-11-2020,438.089996,428.299988,440,424,28414500
06-11-2020,429.950012,436.100006,436.570007,424.279999,21706000
09-11-2020,421.26001,439.5,452.5,421,34833000
10-11-2020,410.359985,420.089996,420.089996,396.029999,30284200
11-11-2020,417.130005,416.450012,418.700012,410.579987,17357700
12-11-2020,411.76001,415.049988,423,409.519989,19855100
13-11-2020,408.5,410.850006,412.529999,401.660004,19771100
16-11-2020,408.089996,408.929993,412.450012,404.089996,26838600
17-11-2020,441.609985,460.170013,462,433.01001,61188300
18-11-2020,486.640015,448.350006,496,443.5,78044000
19-11-2020,499.269989,492,508.609985,487.570007,62475300
20-11-2020,489.609985,497.98999,502.5,489.059998,32911900
23-11-2020,521.849976,503.5,526,501.790009,50260300
24-11-2020,555.380005,540.400024,559.98999,526.200012,53648500
25-11-2020,574,550.059998,574,545.369995,48930200
27-11-2020,585.76001,581.159973,598.780029,578.450012,37561100
30-11-2020,567.599976,602.210022,607.799988,554.51001,63003100
01-12-2020,584.76001,597.590027,597.849976,572.049988,40382800
02-12-2020,568.820007,556.440002,571.539978,541.210022,47775700
03-12-2020,593.380005,590.02002,598.969971,582.429993,42552000
04-12-2020,599.039978,591.01001,599.039978,585.5,29401300
07-12-2020,641.76001,604.919983,648.789978,603.049988,56309700
08-12-2020,649.880005,625.51001,651.280029,618.5,64265000
09-12-2020,604.47998,653.690002,654.320007,588,71291200
10-12-2020,627.070007,574.369995,627.75,566.340027,67083200
11-12-2020,609.98999,615.01001,624,596.799988,46475000
14-12-2020,639.830017,619,642.75,610.200012,52040600
15-12-2020,633.25,643.280029,646.900024,623.799988,45223600
16-12-2020,622.77002,628.22998,632.5,605,42095800
17-12-2020,655.900024,628.190002,658.820007,619.5,56270100
18-12-2020,695,668.900024,695,628.539978,222126200
21-12-2020,649.859985,666.23999,668.5,646.070007,58045300
22-12-2020,640.340027,648,649.880005,614.22998,51716000
23-12-2020,645.97998,632.200012,651.5,622.570007,33173000
24-12-2020,661.77002,642.98999,666.090027,641,22865600
28-12-2020,663.690002,674.51001,681.400024,660.799988,32278600
29-12-2020,665.98999,661,669.900024,655,22910800
30-12-2020,694.780029,672,696.599976,668.359985,42846000
31-12-2020,705.669983,699.98999,718.719971,691.119995,49649900
04-01-2021,729.77002,719.460022,744.48999,717.190002,48638200
05-01-2021,735.109985,723.659973,740.840027,719.200012,32245200
06-01-2021,755.97998,758.48999,774,749.099976,44700000
07-01-2021,816.039978,777.630005,816.98999,775.200012,51498900
08-01-2021,880.02002,856,884.48999,838.390015,75055500
11-01-2021,811.190002,849.400024,854.429993,803.619995,59554100
12-01-2021,849.440002,831,868,827.340027,46270700
13-01-2021,854.409973,852.76001,860.469971,832,33312500
14-01-2021,845,843.390015,863,838.75,31266300
15-01-2021,826.159973,852,859.900024,819.099976,38777600
19-01-2021,844.549988,837.799988,850,833,25367000
20-01-2021,850.450012,858.73999,859.5,837.280029,25665900
21-01-2021,844.98999,855,855.719971,841.419983,20598100
22-01-2021,846.640015,834.309998,848,828.619995,20066500
25-01-2021,880.799988,855,900.400024,838.820007,41173400
26-01-2021,883.090027,891.380005,895.900024,871.599976,23131600
27-01-2021,864.159973,870.349976,891.5,858.659973,27334000
28-01-2021,835.429993,820,848,801,26378000
29-01-2021,793.530029,830,842.409973,780.099976,34990800
01-02-2021,839.809998,814.289978,842,795.559998,25391400
02-02-2021,872.789978,844.679993,880.5,842.200012,24346200
03-02-2021,854.690002,877.02002,878.080017,853.059998,18343500
04-02-2021,849.98999,855,856.5,833.419983,15812700
05-02-2021,852.22998,845,864.77002,838.969971,18524800
08-02-2021,863.419983,869.669983,877.77002,854.75,20161700
09-02-2021,849.460022,855.119995,859.799988,841.75,15157700
10-02-2021,804.820007,843.640015,844.820007,800.02002,36216100
11-02-2021,811.659973,812.440002,829.880005,801.72998,21580700
12-02-2021,816.119995,801.26001,817.330017,785.330017,23701700
16-02-2021,796.219971,818,821,792.440002,19802300
17-02-2021,798.150024,779.090027,799.840027,762.01001,25996500
18-02-2021,787.380005,780.900024,794.690002,776.27002,17957100
19-02-2021,781.299988,795,796.789978,777.369995,18958300
22-02-2021,714.5,762.640015,768.5,710.200012,37269700
23-02-2021,698.840027,662.130005,713.609985,619,66606900
24-02-2021,742.02002,711.849976,745,694.169983,36767000
25-02-2021,682.219971,726.150024,737.210022,670.580017,39023900
26-02-2021,675.5,700,706.700012,659.51001,41011300
01-03-2021,718.429993,690.109985,719,685.049988,27009700
02-03-2021,686.440002,718.280029,721.109985,685,23617600
03-03-2021,653.200012,687.98999,700.700012,651.710022,29957200
04-03-2021,621.440002,655.799988,873.940002,600,65448500
05-03-2021,597.950012,626.059998,627.840027,539.48999,89300300
08-03-2021,578.879272,600.549988,620.090576,565,40198356
